death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
farm for your life	Your community was taken down by a heavy storm which caused an apocalypse and unleashed the living dead. Together with the other survivors, it is your task to rebuild and to allow that sustainable life can still be assured. Cultivate your farm and manage your restaurant to provide food and deal with all the zombies.	['Farming Sim', 'Survival', 'Simulation', 'Casual', 'Strategy', 'Indie', 'Zombies', 'Farming', 'Agriculture', 'Tower Defense', 'Time Management', 'Cute']	['Single-player', 'Steam Achievements']
outdrive	Put the pedal to the metal or your girl will die! Experience the atmosphere of the world inspired by 80s with their neon lights, VHS tapes and synth pop. Buckle up! Gaming experiment in genre of music runner - not a game, aesthetic concept.	['Racing', 'Indie', 'Casual', 'Retro', '1980s', 'Music', 'Great Soundtrack', 'Arcade', 'Singleplayer', 'Cyberpunk', 'Driving']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards']
9 clues: the secret of serpent creek	Save your missing friend and reveal the corruption of the town’s citizens to stop an evil plot to bring the evil Snake God back to our world.	['Hidden Object', 'Casual', 'Adventure', 'Point & Click', 'Puzzle', 'Mystery', 'Female Protagonist', 'Singleplayer', 'Horror', 'Detective', '2D', 'Fantasy', 'Indie', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'Family Friendly']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
shadow madness	The world of Arkose is in Chaos as a mysterious plague, known as "Shadow Madness", ravages the land. With no cure, it strikes without warning, leaving vile creatures and piles of dust where its victims once stood. As the one hope to this doomed land, you must stop this scourge before it stops you.	['Action', 'Adventure', 'RPG', 'Action RPG', 'Action-Adventure', 'JRPG', '3D', 'Anime', 'Top-Down', 'Dystopian', 'Fantasy', 'Futuristic', 'Medieval', 'Pirates', 'Retro', 'Sci-fi', 'Singleplayer']	['Single-player', 'Partial Controller Support']
freddi fish and luther's maze madness	Dive in to help Freddi Fish and Luther navigate a labyrinth of underwater caves and collect the scattered kelp seeds!	['Adventure', 'Casual', 'Family Friendly', 'Nostalgia', 'Puzzle', 'Point & Click', 'Arcade', '2D', 'Female Protagonist']	['Single-player', 'Steam Cloud']
soulset	SoulSet is a Mystery/Romance Visual Novel, in which you can try to avoid death and pursue a relationship with both male and female characters. You play as Mariko, who finds herself trapped in an eerie mansion with 5 other people who claim to have no recollection of their past. Who will you trust?	['Visual Novel', 'Indie', 'Adventure', 'Casual', 'Sexual Content', 'Female Protagonist', 'Otome', 'Dating Sim', 'Romance', 'Mystery', 'Choices Matter', 'Story Rich', 'Anime', 'Mature', 'Multiple Endings', 'Fantasy', 'Singleplayer', 'Atmospheric', 'Comedy', 'Nudity']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
pac-man™ championship edition 2	The much-awaited sequel to PAC-MAN™ CHAMPIONSHIP EDITION! Featuring eye-popping 3D graphics and funky visuals! New modes include Score Attack and an Adventure mode!	['Casual', 'Arcade', 'Retro', 'Classic', 'Great Soundtrack', 'Singleplayer', 'Score Attack', 'Fast-Paced']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']
resident evil		['Gore', 'Violent', 'Sexual Content']	[]
the feeble files	An epic space adventure which sees our hero Feeble undertaking acts of betrayal, intrigue, revolution, and even a bit of cross dressing, in an attempt to right his previous wrongs and save the universe from a fate worse than life.	['Adventure', 'Point & Click', 'Exploration', '2.5D', '2D', 'Cartoony', 'Cinematic', 'Colorful', 'Realistic', 'Third Person', "1990's", 'Atmospheric', 'Comedy', 'Funny', 'Futuristic', 'Sci-fi', 'Space', 'Story Rich', 'Singleplayer']	['Single-player', 'Steam Cloud']
toybox turbos	Codemasters reboots the classic table top racing experience in Toybox Turbos! Collect & customise 35 vehicles, take on 18 crazy tracks & send your rivals into a spin with awesome power-ups, including mines, machine guns & giant car-mounted hammers!	['Racing', 'Local Multiplayer', 'Multiplayer', 'Arcade', 'Top-Down', 'Family Friendly', '4 Player Local', 'Casual', 'Funny', 'Action', 'Retro', 'Singleplayer', 'Driving', 'Cute']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']
front office football seven	Put yourself in the Front Office with Front Office Football, the professional football simulation from Solecismic Software. Manage your roster through trading, free agency and the amateur draft. Create game plans, organize depth charts and watch your franchise thrive for decades.	['Football (American)', 'Simulation', 'Sports', 'Strategy', 'Management', 'Indie']	['Single-player', 'Steam Achievements']
civil war	Crush the Confederates near Petersburg and Richmond in 1864. Bring peace to a nation divided.	['Strategy', 'Wargame', 'America', 'War', 'Hex Grid', 'Historical', 'Local Co-Op', 'Turn-Based', 'Turn-Based Combat', 'Turn-Based Strategy', 'Tactical', 'Board Game', 'Grand Strategy', 'Turn-Based Tactics', 'Minimalist', '2D', 'Hand-drawn', 'Naval', 'PvP', 'Multiplayer']	['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']
brothers in arms		[]	['Single-player']
redneck rampage rides again	includes 14 new single player levels new enemies, weapons, and vehicles, including motorcycles and swamp boats	['Action', 'FPS', "1990's", 'Adventure', 'First-Person', 'Shooter', 'Classic']	['Single-player']
western front	January, 1915. The Race to the Sea is over. The Great War has just begun. You are the commander of a single division in the meat grinder that is the Western Front. Lead your men over the top as you attempt to break the stalemate that is to claim the lives of millions over the course of years.	['Strategy', 'Indie', 'Early Access', 'Simulation', 'World War I', 'War', 'Historical', 'Grand Strategy', 'Wargame', 'Real-Time with Pause', 'Management', 'Real Time Tactics']	['Single-player']
harvest moon: light of hope	In celebration of Harvest Moon's 20th Anniversary comes an all new Harvest Moon title for Steam! Harvest Moon: Light of Hope Special Edition! The game encompasses twenty years of the spirit that have made the franchise what it is today!	['Farming Sim', 'RPG', 'Life Sim', 'Simulation', 'Adventure', 'Agriculture', 'Casual', 'Dating Sim', 'Anime', 'Multiplayer', 'Romance', 'Farming']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
eventide 3: legacy of legends	Discover a forgotten land in the clouds!	['Casual', 'Hidden Object', 'Adventure', 'Atmospheric', 'Point & Click', 'Female Protagonist', 'Fantasy', 'Indie', 'Great Soundtrack', 'Puzzle', 'Singleplayer', '2D', 'Story Rich', 'Family Friendly', 'Colorful', 'Horror', 'Relaxing', 'Surreal', 'Short', 'Visual Novel']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
x2: the threat	X²: The Threat is of a new generation of space simulator games, you play the role of Julian Gardna who continues the story set by X: Beyond The Frontier. The updated graphics engine gives the universe a fresher feel with newly designed ships and stations adding to the complexity of the universe.	['Space', 'Strategy', 'Simulation', 'Sci-fi', 'Singleplayer', 'Space Sim', 'Economy', 'Open World', 'Sandbox', 'Trading', 'Action', 'Flight', 'Exploration']	['Single-player', 'Captions available', 'Steam Cloud']
randal's monday	A kleptomaniac, a sociopath and a horrible friend. Randal is potentially one of the most scurrile protagonists since the invention of the hoverboard. Randal's Monday is a crazy space-time odyssey in classic adventure design, spiced up with countless geek culture references of the last 30 years.	['Adventure', 'Indie', 'Point & Click', 'Comedy', 'Dark Humor', 'Funny', '2D', 'Story Rich', 'Hand-drawn', 'Puzzle', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']
shadow of the sun	Set at the heart of a cataclysmic event in Edo Japan, Ninja or Die: Shadow of the Sun is an ultrafast Roguelite inspired by Japanese folklore. Unleash the power, speed and soul of the Ninja, using acrobatic jumping to move and attack.	['Roguelite', 'Ninja', 'Fast-Paced', 'Precision Platformer', 'Parkour', 'Side Scroller', '2D Platformer', 'Action Roguelike', 'Difficult', 'Retro', 'Pixel Graphics', 'Platformer', 'Perma Death', 'Arcade', 'Roguelike', '2D', 'Action', 'Procedural Generation', 'Score Attack', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Cloud']
ultratron	Experience the addictive gameplay of old-school arcade favourites, updated and improved for the 21st century! Unique retro-futuristic sound and graphics, player responsive difficulty, and a subtle system of tactics combined with classic gameplay make Ultratron a fun and hypnotic arcade blast.	['Indie', 'Action', 'Arcade', 'Retro', 'Twin Stick Shooter', 'Local Co-Op', 'Pixel Graphics', "Shoot 'Em Up", 'Sci-fi', 'Singleplayer', 'Robots', 'Shooter', '2D', 'Bullet Hell', 'Difficult']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
fantasy wars	Fantasy Wars is a turn-based strategy game set in a fantasy world. Combining both classic strategy gameplay and sophisticated 3D graphics players can experience epic battles like never before. Taking place in a fantasy world of Human kingdoms, Orc clans, Dwarfs' citadels and Elven forests the player is thrust into a world of war and...	['Strategy', 'Fantasy', 'Turn-Based Strategy', 'Turn-Based', 'Singleplayer', 'Hex Grid', 'Tactical']	['Single-player', 'Steam Cloud', 'Includes level editor']
hidden & dangerous: action pack	The year is 1941. Your special forces team has been shot down deep inside enemy territory and it's now reliant on your cunning and tactical thinking to get them safely across the border. The odds are stacked against you. Have you got what it takes?	['Action', 'Strategy', 'World War II', 'Tactical', 'FPS', 'Classic']	['Single-player']
in medieval times	Can you find all the hidden cats in this medieval city? More than 100 cats needs to be found! Sit back, relax, and explore this beautifully hand-drawn city.	['Casual', 'Hidden Object', 'Cats', 'Point & Click', 'Cute', 'Adventure', 'Hand-drawn', 'Cartoon', 'Puzzle', 'Clicker', 'Collectathon', '2D', 'Cartoony', 'Colorful', 'Comic Book', 'Minimalist', 'Isometric', 'Stylized', 'Building', 'Family Friendly']	['Single-player', 'Steam Achievements']
home alone	A recreational healing Mini-plot game explored at home. Players will play and wander around the house from the perspective of a little girl. What will she do when she is alone? What strange stories will happen in the process? and in the process of exploration, you may find some strange secrets....	['Adventure', 'Casual', 'RPG', 'Indie', 'Horror', 'RPGMaker', 'Psychological Horror', 'Anime', 'Gore', 'Female Protagonist', 'Cute', 'Pixel Graphics', 'Story Rich', 'Free to Play', 'Puzzle', 'Interactive Fiction', 'Survival Horror', 'JRPG', 'Dungeon Crawler', 'LGBTQ+']	['Single-player', 'Steam Achievements']
serious sam double d xxl	Pile on the firepower with the revolutionary Gunstacker and fire all your weapons at once in a symphony of destruction!	['Action', 'Indie', 'Platformer', 'Shooter', '2D', 'Comedy', 'Gore', 'Local Co-Op', 'Side Scroller']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Partial Controller Support', 'Remote Play Together']
kami	Kyoto is shrouded in silence. While the Ayakashi change course and prepare themselves for invasion, a sudden turn of events suddenly has Len drawing her sword against Shinonome. What brought upon this drastic course of events?	['Adventure', 'Casual', 'Sexual Content', 'LGBTQ+', 'Nudity', 'Visual Novel', 'Anime', 'Magic', 'Story Rich', 'Multiple Endings', 'Episodic', 'Kickstarter', 'Fantasy', 'Swordplay', 'Crowdfunded', 'Female Protagonist']	['Single-player']
papo & yo	Quico’s best friend, Monster, is a huge beast with razor-sharp teeth, but that doesn’t scare Quico away from playing with him. That said, Monster does have a very dangerous problem: an addiction to poisonous frogs.	['3D Platformer', 'Puzzle Platformer', 'Indie', 'Adventure', 'Puzzle', 'Platformer', 'Singleplayer', 'Emotional', 'Story Rich', 'Short', 'Third Person', 'Surreal', 'Fantasy', 'Atmospheric', 'Psychological', 'Controller', 'Casual', 'Family Friendly', 'Abstract', 'Colorful']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
afterburn	Your daily dose of air combat. Super easy to pick up, minimum requirements and vibrant visuals. Setup your aircraft and jump into action!	['Flight', 'Third-Person Shooter', 'Jet', 'Procedural Generation', "Shoot 'Em Up", 'Score Attack', 'Military', 'Difficult', 'Shooter', 'Third Person', 'Arcade', 'Simulation', 'Sci-fi', 'Futuristic', 'Destruction', 'Colorful', 'Minimalist', 'Action', 'Retro', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']
faerie solitaire	Have magical fun in the addicting Card game, Faerie Solitaire! Find and raise a Faerie pet and repopulate the magical land of Avalon using the resources found by clearing each level.	['Card Game', 'Puzzle', 'Board Game', 'Fantasy', 'Indie', 'Relaxing', 'Mouse only', 'Replay Value', 'Turn-Based', 'Casual', 'Solitaire', 'Beautiful', 'RPG', 'Family Friendly', 'Singleplayer', 'Medieval', 'Colorful', 'Touch-Friendly', 'Cinematic', 'Hand-drawn']	['Single-player', 'Steam Achievements', 'Steam Cloud']
zombie shooter	The human race is in danger again. This time scientists could not cope the imminent threat and became monsters themselves. Crowds of zombie people filled the secret research base. The dreadful contagion is about to spread earth wide. Use the last chance to save the humanity from total annihilation!	['Zombies', 'Shooter', 'Action RPG', 'Action', 'Blood', 'Gore', "Shoot 'Em Up", 'Horror', 'RPG', 'Arcade', 'Singleplayer', 'Top-Down Shooter', 'Indie', '2D', 'Roguelite', 'Twin Stick Shooter', 'Survival', 'Isometric', 'CRPG', 'Inventory Management']	['Single-player']
draw puzzle	Draw puzzle is a casual puzzle game that is relaxing and challenging. Solving the puzzle by connecting squares with the same color and number to unlock pixel art.	['Casual', 'Indie', 'Puzzle', 'Anime']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']
police quest: swat 2	Keep the peace or wreck havoc on the streets of LA.	['Simulation', 'Strategy', 'Classic', 'Tactical', 'Villain Protagonist']	['Single-player']
pilot brothers	The case of the stolen elephant! Elephant... Rare... Striped. ...has been kept for many years by an animal trader named Karbophos. Being unable to overcome abuse, it escaped and found a home at the zoo in our city. This is definitely Karbophos's work. To the zoo!	['Adventure', 'Casual', 'Point & Click', 'Puzzle', 'Comedy', 'Funny', 'Escape Room', '2D', 'Singleplayer']	['Single-player']
song of the deep	From the creators of Ratchet & Clank, Song of the Deep is a metroidvania-style action-adventure game following a young girl’s quest into the unknown to find her missing father. It combines underwater discovery, skill, and suspense with a powerful story.	['Adventure', 'Metroidvania', 'Underwater', 'Female Protagonist', 'Action', '2D', 'Platformer', 'Great Soundtrack', 'Puzzle', 'Indie']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
clouds & sheep 2	In this eagerly anticipated sequel of the game “Clouds & Sheep”, the cute sheep are finally on the loose again! Solve countless quests and fulfill your wooly friends’ needs.	['Casual', 'Simulation', 'Family Friendly']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Remote Play on TV']
imperium galactica	Imperium Galactica. The Universe is yours... if you can handle it. The fourth millennium. Mankind has colonised the galaxy. Created an Empire. Now, it is crumbling. The aliens are restless. The oppressed are building armies. And a strange invader is headed for the heart of the Empire.	['Strategy', 'Space', '4X', 'Sci-fi', 'Classic']	['Single-player']
fantastic contraption	The original physics building game is now on PC! Use minimal tools to build an infinite variety of puzzle-solving machines. Featuring over 70 THOUSAND user-generated levels, and includes the sequel Fantastic Contraption Classic 2!	['Simulation', 'Strategy', 'Physics', 'Building', 'Puzzle', 'Sandbox', 'Education', '2D', 'Puzzle Platformer', 'Minimalist', 'Logic', 'Relaxing', 'Level Editor', 'Automation', 'Singleplayer']	['Single-player', 'Steam Cloud']
spycraft: the great game	Are you ready to make the first move in the "great game"?	['Adventure', 'FMV']	['Single-player']
teslagrad	A journey begins... A treacherous tower... Unravel its mysteries!Discover the secrets kept in the long abandoned Tesla Tower!Magnetism and other electromagnetic powers will help you explore a non-linear world of beautiful hand-drawn environments, in a steampunk-inspired vision of old Europe.	['Platformer', 'Puzzle', 'Indie', 'Metroidvania', '2D', 'Steampunk', 'Singleplayer', 'Puzzle Platformer', 'Action', 'Adventure', 'Difficult', 'Physics', 'Exploration', 'Side Scroller', 'Atmospheric', 'Retro', 'Great Soundtrack', 'Cute', 'Nonlinear', 'Dark Fantasy']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
heroes of normandie	Take one of the most modern, fun and engaging board games created in recent years. Match it with cutting-edge technology. Add a ridiculously well-crafted art style and a ton of extra content. This is the recipe to one of the most thrilling, charming and captivating strategy games you will ever find.	['Strategy', 'Board Game', 'World War II', 'Card Game', 'Multiplayer', 'Turn-Based', 'Turn-Based Tactics', 'Singleplayer', 'Tactical', 'Replay Value', 'Asynchronous Multiplayer', 'Local Co-Op', 'Local Multiplayer', 'Turn-Based Strategy']	['Single-player', 'Steam Trading Cards']
pang adventures	The Pang series is a beloved collection of arcade video games from the early 90s. Guide two brothers on a quest around the world to save humankind from a massive alien invasion!	['Action', 'Arcade', 'Strategy', 'Retro', 'Casual', 'Multiplayer', "Shoot 'Em Up", 'Shooter', 'Classic', 'Local Co-Op', 'Cult Classic', '2D', 'Co-op', 'Online Co-Op', 'Family Friendly', 'Colorful', 'Score Attack', 'Time Attack', 'Third-Person Shooter', 'Fast-Paced']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
community college hero: trial by fire	Outwit your professors at superpower school! Ace your exams, date classmates, and bring down the nation’s most wanted villains to earn your degree.	['Indie', 'RPG', 'Text-Based', 'Choose Your Own Adventure', 'Superhero', 'Interactive Fiction']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
disney alice in wonderland	Prepare to journey down the rabbit hole and into a land beyond your wildest imaginings. In Alice in Wonderland, the world of the dazzling Tim Burton film bursts onto your screen, filled with all the whimsical, fantastical adventure of the movie and the classic book that inspired it.	['Action', 'Adventure', 'Family Friendly', 'Female Protagonist', 'Cold War', 'Survival Horror', 'Violent', 'Psychological Horror', 'Hentai', 'LGBTQ+']	['Single-player', 'Shared/Split Screen Co-op', 'Full controller support', 'Steam Cloud', 'Remote Play Together']
the next big thing	The Next Big Thing is a great adventure game in high definition, loaded with laughs, tributes, mysteries and wacky puzzles!	['Adventure', 'Point & Click', 'Puzzle', '2D', 'Classic', 'Cult Classic', 'Great Soundtrack', 'Retro', "1990's", 'Escape Room', 'Singleplayer', 'Indie']	['Single-player', 'Remote Play on Tablet']
legend of grimrock		[]	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']
maximus	Gladiator, it is time to go underground! For the first time ever, you shall step beyond the arena sands and into the dark dungeons of the world.Swords and Sandals V Redux, the latest thrilling installment in the world's greatest gladiator game series, has arrived!	['RPG', 'Adventure', 'Turn-Based Combat', 'Turn-Based', 'Casual', 'Dungeon Crawler', 'Strategy', '2D', 'Strategy RPG', 'Comedy', 'Medieval', 'Fighting', 'Indie', 'Replay Value', 'Roguelike', 'Turn-Based Strategy', 'Hack and Slash', 'Roguelite', 'Colorful', 'Retro']	['Single-player']
siralim	Siralim 3 is a mechanically deep, monster taming RPG. Summon and customize over 700 different creatures to fight for you as you battle your way through randomly generated dungeons. Find rare treasure and use it to craft new items, empower your creatures, learn new spells, and much more.	['Creature Collector', 'Collectathon', 'Dungeon Crawler', 'Procedural Generation', 'RPG', 'Turn-Based', 'Fantasy', 'Retro', 'Pixel Graphics', '2D', 'Turn-Based Combat', 'Replay Value', 'Character Customization', 'Party-Based RPG', 'Strategy RPG', 'Isometric', 'Loot', 'Turn-Based Strategy', 'Medieval', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']
disney's chicken little: ace in action	Inspired by the "superhero movie within the movie" finale of Walt Disney Pictures' film "Chicken Little," Disney"s Chicken Little: Ace in Action features Ace, the superhero alter ego of Chicken Little, and the Hollywood versions of his misfit band of friends: Runt, Abby and Fish-Out-of-Water.	['Action', 'Adventure', 'Shooter', 'Family Friendly', 'Psychological Horror', 'Souls-like', 'Illuminati', 'LGBTQ+', 'World War II', 'Hentai', 'Gore', 'NSFW']	['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']
catan	Catan VR allows tabletop fans and new players alike to experience the best-selling board game in a fresh, fully-immersive format. Take on other players around the world or play against Catan personalities and watch the island come to life in VR for the first time.	['Simulation', 'Strategy', 'VR', 'Board Game', 'Multiplayer', 'Turn-Based Strategy', 'Economy', 'PvP', 'Resource Management', 'Tabletop', 'Trading', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Dark', 'Post-apocalyptic']	['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Tracked Controller Support', 'VR Only']
winter wonderland	’Tis the season for chestnuts, mistletoe, and Match-3. Travel snow-clad lands across more than 200 huge levels and rebuild a cozy village. Then start decorating the houses for the festive season. Grab a hot chocolate while you play bonus games with jigsaw puzzles, clutter, or spot the difference.	['Hidden Object', 'Casual', 'Match 3', 'Puzzle', '2D', 'Relaxing', 'Indie', 'Snow', 'Linear', 'Colorful', 'Family Friendly', 'Atmospheric', 'Building', 'Singleplayer', 'Mouse only', 'Replay Value']	['Single-player', 'Steam Achievements']
ms. splosion man	You got a problem? Yo, she’ll splode it. At the Big Science after-party celebrating the capture of Splosion Man, a spill of champagne shorts out the safety protocols on the splosionatrix and from it emerges Ms. Splosion Man. The latest creation from Twisted Pixel Games, the creators of Splosion Man, The Maw, and Comic Jumper, Ms.	['Action', 'Indie', 'Platformer', 'Female Protagonist', 'Co-op', 'Comedy', 'Local Co-Op', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
graviteam tactics: operation star	Graviteam Tactics: Operation Star is a sequel to Achtung Panzer: Kharkov 1943. It’s an Eastern Front war game with solid graphics and sprawling battlefields that really emphasizes the scope of WWII tank combat.Want to step into the role of a commander in the very heart of Kharkov’s defense?	['Strategy', 'World War II', 'Wargame', 'Tanks', 'Simulation', 'Tactical', 'RTS', 'Realistic', 'Historical', 'Military', 'Singleplayer', 'War', 'Atmospheric', 'Difficult', 'Real Time Tactics', 'Replay Value']	['Single-player', 'Steam Achievements']
bloodsports.tv	Co-Op Hero Defense set in a deadly post-apocalyptic Sweden. Team up with your friends and protect the Missile Silo against horrific beasts and outlaws.	['Action', 'Hack and Slash', 'Indie', 'MOBA', 'Post-apocalyptic', 'Co-op', 'Survival', 'PvE', 'Strategy', 'Adventure', 'Casual', 'Sports', 'Multiplayer', 'Singleplayer', 'Tower Defense', 'Funny', 'RTS', 'Massively Multiplayer', 'Free to Play', 'Animation & Modeling']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
wonder boy	The adventures of Asha, the little warrior, begin! Together with her blue sidekick Pepelogoo, she will run through numerous stages and save the Monster World from the darkness.	['Platformer', 'Adventure', 'Indie', 'Action', 'Action-Adventure', '2D Platformer', 'Side Scroller', 'Cute', 'Runner', 'Metroidvania', 'Action RPG', 'Anime', 'Fantasy', 'Singleplayer', 'RPG', 'Female Protagonist', 'Exploration', "1990's", 'Retro', 'Remake']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
armageddon empires	Armageddon Empires is a computer turn based strategy game that takes the best elements of collectable card games, board games, and computer games and brings them all together to provide a unique interactive strategy war game experience.	['Strategy', 'Turn-Based Strategy', 'Wargame', 'Top-Down', 'Post-apocalyptic', 'Deckbuilding', 'Turn-Based Combat', 'Singleplayer']	['Single-player']
world war 1	Trenches is a First-Person World War l Survival Horror Game where you have to escape the claustrophobic environment and experience the war from the eyes of a soldier caught behind enemy lines in this surreal nightmare as you fight for your life and sanity to get back home to your family.	['Psychological Horror', 'Horror', 'Action', 'World War I', 'Adventure', 'Survival Horror', 'Simulation', 'War', 'Stealth', 'Puzzle', 'Exploration', 'FPS', '3D', 'First-Person', 'Realistic', 'Atmospheric', 'Dark', 'Singleplayer', 'Demons', 'Multiplayer']	['Single-player']
metal slug defense	“METAL SLUG”, the pinnacle of 2D action-shooting on NEOGEO returns in a brand new strategy game on Steam!	['Free to Play', 'Action', '2D', 'Tower Defense', 'Multiplayer', 'Strategy', 'Adventure', 'Pixel Graphics', 'Shooter', 'Massively Multiplayer', 'Arcade', 'Casual', 'Singleplayer', 'Online Co-Op']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
supercow	Supercow is a hilarious dynamic arcade game with an exciting plot for the whole family. If you like Platformers and Runners, you'll definitely enjoy it!	['Casual', 'Arcade', 'Platformer', 'Side Scroller', 'Turn-Based Tactics', 'Runner', '2D', 'Cute', 'Cartoony', 'Cartoon', 'Hand-drawn', 'Family Friendly', 'Old School', 'Investigation', 'Satire', 'Agriculture', 'Funny', 'Superhero', 'Comedy', 'Dynamic Narration']	['Single-player']
mini motor racing	Welcome to the world of Mini Motor Racing X! Strap yourself in, or strap on your VR headset, and jump into a nitro fueled world where little cars mean BIG fun!	['Racing', 'Indie', 'Top-Down', 'VR', 'Arcade', 'Local Co-Op', 'Online Co-Op', 'Combat Racing', 'First-Person', 'Family Friendly', 'Party Game', 'Split Screen', 'Action', 'Great Soundtrack', 'Casual', 'Replay Value']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
hard reset	Over-the-top destruction, loads of enemies & a beautifully realized cyberpunk setting. Hard Reset is here to shake up the shooter scene. Try the demo now.	['FPS', 'Cyberpunk', 'Action', 'Sci-fi', 'Shooter', 'Indie', 'Singleplayer', 'First-Person', 'Dystopian', 'Robots', 'Difficult', '3D Vision', 'Old School', 'Atmospheric', 'Gore']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']
thunder wolves	When this “wolf pack” strikes, you hear the thunder roll. The Thunder Wolves attack from the air. They are mercenaries, and the best helicopter pilots in the world. Every one of them is ready for action at all times—and ready to fight evil, wherever it lurks. The Thunder Wolves have already made it through countless battles.	['Flight', "Shoot 'Em Up", 'Third-Person Shooter', 'Military', 'War', 'Shooter', 'Arcade', '3D', 'Third Person', 'Open World', 'Action', 'Simulation', 'Destruction', 'Co-op', 'Combat', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Singleplayer', 'Indie']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
jigsaw puzzle	All you need is love and a cat. Discover a romance through the eyes of the cat Buddy in this minimalist jigsaw puzzle game, told in 6 scenes illustrated by @Katia.Numakura with her lovely art style.	['Cute', 'Romance', 'Cats', 'Puzzle', 'Tabletop', 'Relaxing', 'Casual', 'Cartoony', 'Solitaire', 'Hand-drawn', 'Minimalist', 'Family Friendly', 'Singleplayer', 'Cartoon', 'Immersive', 'Beautiful']	['Single-player', 'Steam Achievements']
hard to be a god	Hard to be a God is a Sci-Fi RPG with adventure and espionage elements.	['RPG', 'Medieval', 'Sci-fi']	['Single-player']
